"lama","baru"
"trannfer","transfer"
"sampe","sampai"
"ga","tidak"
"login","login"
"trs","terus"
"username","username"
"yaa","yaa"
"gimana","bagaimana"
"ta","ta"
"fitur","fitur"
"yg","yang"
"krn","karena"
"dimasukakan","dimasukkan"
"direspon","direspon"
"kga","tidak"
"voucher","voucher"
"gamenya","gamenya"
"asik","asik"
"skrg","sekarang"
"ribet","ribet"
"klo","kalau"
"mghubungi","menghubungi"
"customer","customer"
"servicenya","service"
"live","live"
"chatnya","chatnya"
"untk","untuk"
"brmasalah","bermasalah"
"lgsg","langsung"
"sy","saya"
"tp","tapi"
"sttus","status"
"history","history"
"hoax","hoax"
"tlp","telfon"
"nunggu","tunggu"
"ngga","tidak"
"chat","chat"
"cs","cs"
"admin","admin"
"dibukalapak","di bukalapak"
"tagihannyatapi","tagihannya"
"pelapakjadi","pelapak"
"bukadompet","bukadompet"
"nelpon","nelpon"
"call","call"
"center","center"
"emailtapi","email"
"spam","spam"
"tetep","tetap"
"kaga","tidak"
"mulu","mulu"
"dapet","dapat"
"sellernya","seller"
"gatau","tidak tahu"
"males","malas"
"uninstal","uninstall"
"update","update"
"freeze","freeze"
"melayangini","melayani"
"romadhon","romadhon"
"lohbuka","buka"
"gk","tidak"
"luututup","tertutup"
"ajamasa","mamasa"
"sudh","sudah"
"sblm","sebelum"
"kadaluarsamasa","kadaluarsa"
"batalkangoblok","batalkan"
"dancuk","danau"
"utk","untuk"
"tlng","tolong"
"tdk","tidak"
"tahanalasanya","tahanannya"
"dellleeeetttt","hapus"
"ribetsusahbuang","kesusahan"
"bget","banget"
"pdahal","padahal"
"sya","saya"
"pgiriman","pengiriman"
"cepetitu","cepat"
"dri","dari"
"respon","respon"
"copypastenya","copy paste"
"klau","kalau"
"lebich","lebih"
"lgi","lagi"
"lamabat","lambat"
"dgn","dengan"
"kredivo","kredivo"
"sudahvterpotong","terpotong"
"serv","seri"
"pd","pada"
"force","force"
"stopped","stopped"
"crash","crash"
"upgread","upgrade"
"stiap","setiap"
"ready","ready"
"kosongkalo","kosong"
"download","download"
"nginstal","install"
"pake","pakai"
"vpn","vpn"
"gabisa","tidak bisa"
"yaokelah","okelah"
"kurangin","kurangi"
"close","close"
"yaaa","yaaa"
"jgak","juga"
"log_out","logout"
"sndiri","sendiri"
"trims","terima kasih"
"lhomohon","mohon"
"kembangin","kembangkan"
"lg","lagi"
"bpjs","bpjs"
"kadaluarsa","kadaluarsa"
"nyampe","sampai"
"bnget","benget"
"seharihari","seharian"
"bri","bri"
"mastercard","mastercard"
"zonk","zonk"
"gimna","bagaimana"
"fiturnya","fiturnya"
"kalu","kalau"
"insha","insya"
"allah","allah"
"ongkir","ongkir"
"belitolonglah","tolong"
"inibiayanya","biayanya"
"madura","madura"
"tetatang","tentang"
"blanja","belanja"
"notifnya","notifnya"
"kadaluwarsa","kadaluarsa"
"sj","saja"
"jg","juga"
"benarbenar","benar"
"tgl","tanggal"
"may","may"
"basick","basic"
"sponge","sponge"
"earphon","earphone"
"telp","telpon"
"lainlain","lain"
"indomart","indomaret"
"lansung","langsung"
"memvayarnya","membayarnya"
"rincian","rincian"
"pengirimin","pengiriman"
"mengkomfirmasi","mengkonfirmasi"
"mencarikanmenggantikan","mencarikan menggantikan"
"tsb","tersebut"
"masul","masuk"
"tetapai","tetapi"
"unekunek","unek"
"sdh","susah"
"komfir","konfirmasi"
"sms","sms"
"khn","khn"
"internet","internet"
"mikir","mikir"
"komsumen","konsumen"
"ngomong","ngomong"
"ditanyain","ditanyain"
"sata","sata"
"bgt","banget"
"seller","seller"
"onlinenya","online"
"cincai","cincai"
"smoga","semoga"
"lbh","lebih"
"dlm","dalam"
